Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,collection,bmw-x4-xdrive,PARAGON MODELS BMW X4 XDRIVE 3.5d F83 2014,<pre><code>Trademark: PARAGON MODELS<br>Brand: BMW<br>Model: X4 xDrive35d F26<br>Scale: 1:18<br>Car Model Code: 80432352457<br>Manufacturer Code: 80432352457<br>Colour: Mineral Grey Metallic<br>Material: Die-cast metal with plastic details<br>Year: 2014<br>EAN: Available on request</code></pre>,80432352457,,,,,,,,,,,,,123.00,8.00,No,Unlimited,,,0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/4dee33ef-fede-4c38-b2d9-3ee4bcb359db/Untitled+design+%2818%29.png
,,PHYSICAL,pre-order,bmw-x5-m-competition-blue-2023-30343,"BMW X5 M COMPETITION BLUE 2023 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: BMW
Model: X5 M COMPETITION
Scale: 1:18
Car Model Code: 30343
Manufacturer Code: 30343
Colour: BLUE
Material: Resin model (doors and hood do not open)
Year: 2023
EAN: Available on request
Expected Release: March 2026</code></pre>",30343,,,,,,,,,,,,,104.99,10.00,No,Unlimited,,"Preorder, Release: March 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105384663-ER8ER9T6R1H2AIP89KMO/GT967n.jpg
,,PHYSICAL,pre-order,brabus-900-peetch-pink-2024-30600,"BRABUS 900 PEETCH PINK 2024 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: BRABUS
Model: 900 PEETCH PINK
Scale: 1:18
Car Model Code: 30600
Manufacturer Code: 30600
Colour: PINK
Material: Resin model (doors and hood do not open)
Year: 2024
EAN: Available on request
Expected Release: March 2026</code></pre>",30600,,,,,,,,,,,,,104.99,10.00,No,Unlimited,,"Preorder, Release: March 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105388700-UF0YOUOK1Q9RK4OJHCN4/gt564n.jpg
,,PHYSICAL,pre-order,brabus-rocket-gts-black-2024-30591,"BRABUS ROCKET GTS BLACK 2024 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: BRABUS
Model: ROCKET GTS BLACK
Scale: 1:18
Car Model Code: 30591
Manufacturer Code: 30591
Colour: BLACK
Material: Resin model (doors and hood do not open)
Year: 2024
EAN: Available on request
Expected Release: March 2026</code></pre>",30591,,,,,,,,,,,,,104.99,10.00,No,Unlimited,,"Preorder, Release: March 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105386950-RLO13XL9D6T7C3ZXVE9W/gt544nh.jpg
,,PHYSICAL,pre-order,chevrolet-corvette-c4-gran-sport-blue-1996-30344,"CHEVROLET CORVETTE C4 GRAN SPORT BLUE 1996 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: CHEVROLET
Model: CORVETTE C4 GRAN
Scale: 1:18
Car Model Code: 30344
Manufacturer Code: 30344
Colour: BLUE
Material: Resin model (doors and hood do not open)
Year: 1996
EAN: Available on request
Expected Release: March 2026</code></pre>",30344,,,,,,,,,,,,,104.99,10.00,No,Unlimited,,"Preorder, Release: March 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105390606-ILKUPGMWDHJ275GTR3ZR/GT538n.jpg
,,PHYSICAL,pre-order,chevrolet-corvette-c8-zr1-yellow-2025-30588,"CHEVROLET CORVETTE C8 ZR1 YELLOW 2025 GT Spirit 1:18 Resinemodell (Türen, Motorhaube... nicht zu öffnen!)","<pre><code>Trademark: GT Spirit
Brand: CHEVROLET
Model: CORVETTE C8 ZR1
Scale: 1:18
Car Model Code: 30588
Manufacturer Code: 30588
Colour: YELLOW
Material: Resin model (doors and hood do not open)
Year: 2025
EAN: Available on request
Expected Release: March 2026</code></pre>",30588,,,,,,,,,,,,,104.99,10.00,No,Unlimited,,"Preorder, Release: March 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105392438-5LUD1235CBAKTZZ6SNZ0/gt528nh.jpg
,,PHYSICAL,pre-order,chevrolet-corvette-coupe-1969-le-mans-blue-118-29929,Chevrolet Corvette Coupe 1969 Le Mans Blue  Norev 1:18 Metallmodell (Überarbeitete Version - Türen/Hauben nicht zu öffnen!),"<pre><code>Trademark: Norev
Brand: Chevrolet
Model: Corvette Coupe
Scale: 1:18
Car Model Code: 29929
Manufacturer Code: 29929
Colour: Blue
Material: Die-cast metal with plastic details
Year: 1969
EAN: Available on request
Expected Release: February 2026</code></pre>",29929,,,,,,,,,,,,,67.99,10.00,No,Unlimited,,"Preorder, Release: February 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105424636-8P4A61R26YOSFYKXEU00/189034nh.jpg
,,PHYSICAL,pre-order,chevrolet-corvette-sting-ray-1963-sebring-silver-118-118-29375,Chevrolet Corvette Sting Ray 1963 Sebring Silver 1:18 Norev 1:18 Metallmodell (Türen/Hauben nicht zu öffnen!),"<pre><code>Trademark: Norev
Brand: Chevrolet
Model: Corvette Sting Ray
Scale: 1:18
Car Model Code: 29375
Manufacturer Code: 29375
Colour: Silver
Material: Die-cast metal with plastic details
Year: 1963
EAN: Available on request
Expected Release: February 2026</code></pre>",29375,,,,,,,,,,,,,67.99,10.00,No,Unlimited,,"Preorder, Release: February 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105428610-TLZNCOYRYJO08UHH12F8/189052n.jpg
,,PHYSICAL,pre-order,citroen-2cv-charleston-1982-delage-red-black-reprod-2025-118-28877,"Citroën 2CV Charleston 1982 Delage Red & Black (Reprod 2025) Norev 1:18 Metallmodell 2 Türen, Motorhaube und Kofferraum zu öffnen!","<pre><code>Trademark: Norev
Brand: Citroën
Model: 2CV Charleston
Scale: 1:18
Car Model Code: 28877
Manufacturer Code: 28877
Colour: Black
Material: Die-cast metal with plastic details
Year: 1982
EAN: Available on request
Expected Release: February 2026</code></pre>",28877,,,,,,,,,,,,,67.99,10.00,No,Unlimited,,"Preorder, Release: February 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105426588-WNF5PUIEWD8ZTDD4ZPAA/181510nh.jpg
,,PHYSICAL,pre-order,citroen-ds-23-pallas-1974-vanneau-beige-118-30249,Citroën DS 23 Pallas 1974 Vanneau Beige  Norev 1:18 Metallmodell 2 Türen und Motorhaube zu öffnen!,"<pre><code>Trademark: Norev
Brand: Citroën
Model: DS 23 Pallas
Scale: 1:18
Car Model Code: 30249
Manufacturer Code: 30249
Colour: 
Material: Die-cast metal with plastic details
Year: 1974
EAN: Available on request
Expected Release: February 2026</code></pre>",30249,,,,,,,,,,,,,67.99,10.00,No,Unlimited,,"Preorder, Release: February 2026",0.0,0.0,0.0,0.0,Yes,https://images.squarespace-cdn.com/content/v1/68d6a6c7ad50e42eaaa2008c/1760105430823-6JXSYIUNYJBZQB22PJR4/181727n.jpg
